,TEC,C_max,Rtime,Status,Gaps
1.1,289.30000000000024,197.9999999601994,180.1763801574707,9,0.6279460109569751
1.2,315.6,170.49999999999983,180.0513858795166,9,0.5679374195638541
1.3,341.9000000000001,145.49999997069906,180.05618476867676,9,0.49369987203236554
1.4,368.2,118.99999506318274,180.03576278686523,9,0.380952338581899
1.5,394.50000000025005,109.33333332026298,180.04652976989746,9,0.32621947609723734
1.6,420.8000000000002,106.16666663451481,180.02014350891113,9,0.30612243787824706
1.7,447.1,103.33333333333334,180.02013969421387,9,0.2870967738456906
1.8,473.4000000000017,100.3333332826638,180.03576278686523,9,0.26578071319473145
1.9,499.7,97.3333333235,180.02013969421387,9,0.2431506838593714
2.0,526.0000000000211,94.33333331426333,180.02457809448242,9,0.2756183744118674
2.1,552.3000000000002,91.66666665739982,180.03682708740234,9,0.19636360096767838
2.2,578.6000000002941,88.49999916974701,180.0201416015625,9,0.16760823630364477
2.3,604.9000000000001,85.66666582727959,180.0201416015625,9,0.14007778497024254
2.4,631.2,82.66666665746652,180.0513858795166,9,0.10887092071885333
2.5,657.5,79.99999984205617,180.05160331726074,9,0.07916663914111917
2.6,683.8000000003227,76.83333330732468,180.08262634277344,9,0.04121471807490737
2.7,710.1000000000014,73.99999996583384,180.08262825012207,9,0.0045044569648552985
2.8,736.3999999999999,73.99999890805503,180.02013397216797,9,0.004504457023654304
2.9,762.6999999999998,73.9999990499994,180.0201416015625,9,0.004504469318586279
3.0,789.0,73.99999810889662,180.04169464111328,9,0.004504449664727507
3.1,815.3000000000001,73.99999909443974,180.02321434020996,9,0.004504462668722466
3.2,841.6,73.99999483333333,180.0357666015625,9,0.004504259448521135
3.3,867.9000000000001,73.99999904500024,180.0357666015625,9,0.004504473671914337
3.4,894.2000000000045,73.9999992886398,180.1138687133789,9,0.00450437432531244
