,TEC,C_max,Rtime,Status,Gaps
1.1,125.4,78.9999999919999,180.03166580200195,9.0,0.5427785129841943
1.2,136.79999999999998,66.99999830016631,180.0265941619873,9.0,0.4036484094141181
1.3,148.20000000000016,57.499999407884815,180.03357887268066,9.0,0.44703786493314535
1.4,159.60000000050002,44.49999994033205,180.02758407592773,9.0,0.03723883699431229
1.5,171.0,43.83333326160006,180.02372932434082,9.0,0.05676333556607515
1.6,182.4,42.49999999129908,180.04030418395996,9.0,0.15595349366105796
1.7,193.80000000000004,41.16666625202748,180.0188865661621,9.0,0.13740181078032956
1.8,205.20000000000104,39.49999996355113,180.0581398010254,9.0,0.12562396573335882
1.9,216.60000000000002,38.33333332939999,180.0231761932373,9.0,0.142645265360056
2.0,228.00000000000003,37.166666613220535,180.04046630859375,9.0,0.14179373385673716
2.1,239.40000000000006,36.166666662566655,180.0494556427002,9.0,0.1327333144766981
2.2,250.8,34.99999996399863,180.03089332580566,9.0,0.16190502535971102
2.3,262.2,34.166652261456164,180.01134872436523,9.0,0.15045808305538
2.4,273.60000000000014,32.66666465720481,180.02037239074707,9.0,0.11216915358755501
2.5,285.00000000000523,31.999997040643468,180.09987831115723,9.0,0.09373180729965266
2.6,296.4000000000001,31.16666236486929,180.02466201782227,9.0,0.06950786241430927
2.7,304.5,29.666666666666664,8.498001098632812,Optimal1,4.004628790374973e-08
2.8,319.2,29.666666663600136,1.2965679168701172,Optimal1,0.0
2.9,330.6,29.666666551004102,3.577281951904297,Optimal1,3.336048334490996e-09
3.0,342.0,29.66666568664801,5.342493057250977,Optimal1,0.0
3.1,340.5,29.666666666666664,14.637178421020508,Optimal1,0.0
3.2,364.8,29.666666663599994,1.3902969360351562,Optimal1,0.0
3.3,376.2,29.666666498054088,2.07763671875,Optimal1,0.0
3.4,387.6,29.66666582542549,5.467464447021484,Optimal1,0.0
