,TEC,C_max,Rtime,Status,Gaps
1.1,1766.6000000000008,1252.4999998746366,180.08262634277344,9,0.9949434464399464
1.2,1927.2000000000062,1090.9999998907988,180.11386680603027,9,0.8010999055035707
1.3,2087.800000000004,932.4999999999877,180.0645046234131,9,0.7672922216954233
1.4,2248.400000000002,738.4999999999669,180.75602531433105,9,0.7061611325816753
1.5,2409.000000000002,653.6666666666499,180.12948608398438,9,0.6680265102480794
1.6,2569.6000000000026,634.1666666031441,180.12949180603027,9,0.6578186498921372
1.7,2730.2000000000007,611.8333333333214,180.0689182281494,9,0.9891037864342139
1.8,2890.800000000002,591.6666666666655,180.1354579925537,9,0.9892957746478874
1.9,3051.3999999999996,573.6666666666663,180.06700706481934,9,0.6217315453428496
2.0,3212.0000000000005,557.9999999999853,180.14511108398438,9,0.611111104928446
2.1,3372.6000000000035,542.1666666666633,180.12948989868164,9,0.5997540667499885
2.2,3533.2000000000016,521.666666666666,180.05141067504883,9,0.9878594249201279
2.3,3693.800000000001,503.8333333333184,180.07386016845703,9,0.5693020117925219
2.4,3854.4000000000005,487.6666666666668,180.33390998840332,9,0.5550239189509297
2.5,4015.000000000001,467.49999999998556,180.33256340026855,9,0.5358288692436292
2.6,4175.6,452.16666666666646,180.28570365905762,9,0.5200884556402593
2.7,4336.200000000001,435.99999916666656,180.0826244354248,9,0.5022935699742951
2.8,4496.800000000001,434.3333333333326,180.85540199279785,9,0.5003837215634118
2.9,4657.4,434.6666641060614,180.05138206481934,9,0.5007668606059366
3.0,4818.000000000001,434.333330916658,180.9281711578369,9,0.5003837187856766
3.1,4978.600000000001,434.33333208333323,180.72443199157715,9,0.5003837210881086
3.2,5139.200000000002,434.3333318333334,180.06700325012207,9,0.9846508057796846
3.3,5299.799999999999,434.33333311569754,180.1230239868164,9,0.9877206446600021
3.4,5460.399999999999,434.3333280000001,180.05138206481934,9,0.9877206445153726
