,TEC,C_max,Rtime,Status,Gaps
1.1,664.4000000000002,471.99999995269843,180.03348922729492,9,0.6504237245504086
1.2,724.8000000000002,400.49999995984865,180.0513858795166,9,0.7940074856915803
1.3,785.2000000000003,335.99999996379927,180.06699562072754,9,0.7544642815297558
1.4,845.6000000000001,288.49999997104715,180.05138397216797,9,0.42807624549345047
1.5,906.0000000000007,249.99999999999875,180.0670051574707,9,0.669999987461911
1.6,966.4000000000002,248.16666606666664,180.09189987182617,9,0.33512424170260025
1.7,1026.8000000000004,233.16666664324842,180.2299041748047,9,0.301330752124107
1.8,1087.2000000000005,225.66666659866436,180.03814315795898,9,0.6344165227855272
1.9,1147.600000000003,222.83333328856412,180.08262634277344,9,0.26328247356060613
2.0,1208.0,210.99999992968668,180.17635345458984,9,0.6090047274789001
2.1,1268.4000000000003,211.99999993610194,180.12099838256836,9,0.2216980960698206
2.2,1328.8000000000002,197.83333331345003,180.1038932800293,9,0.582982292979989
2.3,1389.2000000000016,191.6666666281309,180.05138397216797,9,0.1391304164385525
2.4,1449.6,187.33333331450223,180.05138397216797,9,0.12513056950523987
2.5,1510.0000000000007,178.16666664277577,180.16073417663574,9,0.5367715764849839
2.6,1570.4,175.16666666666666,180.04336547851562,9,0.05804000226971311
2.7,1630.8,165.33333168910286,180.05410385131836,9,0.002016119012568259
2.8,1691.2000000000005,165.33333330006514,180.05141830444336,9,0.0020161210584436376
2.9,1751.6000000000001,165.33333215848754,180.06699752807617,9,0.5010080433650738
3.0,1811.9999999999995,165.33333300406608,180.17635345458984,9,0.002016112994356241
3.1,1872.4,165.33333233333272,180.17635536193848,9,0.002016116630533372
3.2,1932.8000000000002,165.3333285333316,180.0568389892578,9,0.4924893224647846
3.3,1993.1999999999998,165.33333274833225,180.0513858795166,9,0.0020161181092615155
3.4,2053.6,165.33333283981597,180.09824180603027,9,0.002016122465606581
